calling phone;receiving phone;date;price
87;26;2020-04-17;12
24;44;2020-09-25;14
28;11;2020-08-07;10
72;93;2020-03-25;2
87;32;2020-12-30;18
78;42;2020-06-16;16
90;95;2020-03-20;6
94;95;2020-11-10;5
12;71;2020-02-15;16
10;91;2020-08-29;15
24;23;2020-07-16;8
35;24;2020-02-04;14
44;75;2020-01-23;4
83;29;2020-01-09;3
84;30;2020-01-10;4
23;44;2020-04-15;17
26;57;2020-03-07;7
52;34;2020-08-25;2
56;49;2020-12-15;14
29;46;2020-11-07;1
47;46;2020-09-13;17
36;66;2020-12-28;4
66;25;2020-05-16;16
28;42;2020-04-08;11
14;30;2020-08-07;5
25;72;2020-05-01;17
61;96;2020-03-08;0
90;15;2020-12-18;10
90;80;2020-12-29;3
16;63;2020-11-01;0
53;45;2020-07-31;9
12;93;2020-02-28;14
29;48;2020-03-07;15
49;34;2020-09-11;15
84;89;2020-12-09;9
48;76;2021-01-01;14
48;81;2020-10-22;4
54;96;2020-07-13;12
34;47;2020-03-05;12
20;82;2020-02-22;8
40;44;2020-05-01;1
84;97;2020-02-13;13
57;87;2020-05-31;17
70;47;2020-06-05;3
34;23;2020-04-09;10
17;87;2020-05-24;16
54;41;2021-01-07;1
72;19;2020-09-18;0
62;22;2020-05-03;2
44;53;2020-09-12;4
95;82;2020-03-01;8
52;11;2020-09-27;8
88;61;2020-03-06;2
52;61;2020-10-24;17
75;81;2020-01-14;1
50;91;2020-02-18;17
46;22;2020-03-15;19
54;79;2020-09-30;5
41;31;2020-07-08;3
89;82;2020-09-03;0
35;30;2020-09-14;2
28;23;2021-01-02;0
59;36;2020-12-05;2
15;92;2020-04-05;19
10;28;2020-04-26;18
71;10;2020-11-20;16
69;43;2020-07-04;14
85;87;2020-09-29;0
67;65;2020-04-22;2
66;63;2020-07-09;15
53;98;2020-12-07;5
36;93;2020-11-24;17
22;57;2020-05-26;10
88;24;2020-12-07;18
80;56;2020-11-28;9
92;40;2020-05-20;16
60;23;2020-06-25;10
64;31;2020-09-10;5
38;71;2020-09-10;7
29;86;2020-01-16;1
24;60;2020-07-23;8
47;87;2020-11-21;16
41;75;2020-10-31;12
82;41;2020-02-14;8
25;81;2020-06-08;7
72;20;2020-09-04;10
50;34;2020-08-27;12
91;47;2020-05-25;8
49;27;2020-08-02;3
60;51;2020-10-25;17
69;67;2020-08-14;18
99;74;2020-08-15;9
35;87;2020-04-08;18
35;14;2020-09-22;17
76;94;2020-03-15;7
13;32;2020-07-27;6
57;30;2020-09-04;5
16;23;2020-01-08;3
84;82;2020-02-27;17
61;32;2020-01-20;17
78;14;2020-07-21;3
33;65;2020-02-18;5
10;65;2020-10-19;16
14;17;2020-06-02;13
12;31;2020-03-20;19
47;85;2020-06-28;4
47;75;2020-11-21;3
84;77;2020-09-07;2
72;28;2020-05-08;6
10;22;2020-07-27;15
13;44;2020-07-04;17
59;50;2020-11-17;14
28;22;2020-09-12;19
89;74;2020-04-11;7
79;90;2020-03-29;6
82;58;2020-06-29;19
22;43;2020-07-04;16
38;18;2020-05-28;8
67;35;2020-03-08;10
24;71;2020-02-26;8
89;78;2020-02-08;7
96;71;2020-07-30;6
27;94;2020-06-26;4
82;67;2020-03-04;8
49;66;2020-11-02;13
80;78;2020-01-28;15
50;52;2020-11-07;7
32;60;2020-05-05;18
22;82;2020-10-28;9
66;65;2020-04-21;10
14;35;2020-11-23;12
25;51;2020-04-02;15
30;43;2020-02-25;16
27;70;2020-03-12;17
42;79;2020-07-29;8
49;19;2020-05-21;1
66;88;2020-11-14;5
31;17;2020-01-26;7
85;43;2020-05-02;4
42;68;2020-06-04;11
49;23;2020-05-01;18
27;54;2020-02-05;11
25;47;2020-05-15;13
96;67;2020-10-20;5
42;36;2020-11-14;17
32;25;2020-05-02;9
17;69;2020-05-06;4
78;79;2020-05-15;11
58;16;2020-03-04;8
25;77;2020-01-29;6
11;51;2020-05-13;0
54;54;2020-11-17;13
22;88;2020-04-27;7
83;46;2020-01-30;11
29;38;2021-01-07;12
54;22;2020-02-06;16
67;14;2020-06-29;2
45;53;2020-12-08;10
28;93;2020-10-12;19
53;34;2020-12-08;15
44;28;2020-02-16;13
32;45;2020-03-12;5
29;56;2020-04-21;7
86;98;2020-09-06;5
16;90;2020-03-24;3
94;97;2020-10-13;11
50;57;2021-01-06;11
66;50;2020-09-23;1
46;65;2020-05-20;6
61;23;2020-08-16;6
57;54;2020-09-23;12
80;22;2020-02-28;4
63;68;2020-12-20;14
85;67;2020-05-29;0
44;71;2020-12-28;13
53;87;2020-02-19;3
30;88;2020-01-08;5
66;77;2020-02-15;12
60;96;2020-12-24;13
29;32;2020-09-06;18
95;64;2020-09-23;5
65;35;2021-01-19;11
16;19;2020-05-26;8
64;48;2020-03-23;9
69;84;2020-09-07;6
34;10;2020-04-12;8
16;24;2020-07-19;11
33;28;2020-08-10;17
83;41;2020-05-16;11
35;23;2020-09-10;11
15;25;2020-01-03;13
18;66;2020-06-09;6
94;80;2020-06-10;12
22;80;2020-03-03;14
56;87;2020-09-15;8
56;93;2020-05-22;12
53;97;2020-10-16;3
24;99;2020-10-04;13
44;38;2020-04-18;16
87;25;2020-09-22;10
99;20;2020-12-24;14
33;29;2020-10-08;19
96;76;2020-12-07;12
29;61;2021-01-16;12
78;51;2020-08-29;9
70;33;2020-06-07;11
14;17;2020-01-11;0
26;10;2021-01-18;5
48;23;2020-01-18;15
58;60;2020-04-21;4
17;98;2021-01-02;5
18;60;2020-04-08;18
27;32;2020-02-27;17
25;14;2020-01-01;0
59;50;2020-05-22;1
59;49;2020-02-26;2
58;42;2020-01-26;7
84;71;2020-09-01;3
27;98;2020-06-11;7
91;93;2020-04-25;3
38;56;2020-08-28;3
31;38;2020-12-30;1
75;21;2020-10-06;16
60;25;2020-05-09;17
20;82;2020-08-21;5
75;64;2020-09-10;5
93;24;2020-01-02;8
77;89;2020-11-02;3
93;88;2020-05-21;18
97;63;2020-07-18;19
74;28;2020-11-24;19
43;60;2020-08-15;3
62;50;2020-11-13;18
50;33;2020-11-20;18
97;91;2021-01-10;1
91;51;2020-04-10;19
24;94;2020-08-09;18
24;69;2020-05-13;17
85;66;2020-11-26;19
94;82;2020-09-16;19
72;92;2020-01-19;18
16;12;2020-06-10;17
54;88;2020-11-29;2
92;49;2020-09-03;13
15;61;2020-03-06;2
34;82;2020-06-20;19
56;55;2020-10-24;11
42;26;2020-02-26;13
37;93;2020-03-03;2
90;21;2020-07-08;19
89;52;2020-12-27;11
96;77;2020-01-17;3
95;58;2020-06-25;18
85;56;2020-11-21;4
93;88;2020-05-25;13
69;40;2020-03-11;6
94;27;2020-09-24;2
63;23;2020-10-14;12
42;38;2020-10-04;15
44;66;2020-07-17;11
15;33;2020-10-22;19
18;47;2020-12-04;19
23;49;2021-01-01;19
44;49;2020-11-03;0
43;73;2020-12-30;1
83;85;2020-07-18;15
28;54;2020-01-09;5
28;86;2020-10-05;0
44;71;2020-06-11;7
95;18;2020-05-13;11
71;26;2020-12-08;3
33;12;2020-03-04;18
24;42;2020-11-29;1
29;71;2020-10-24;14
77;33;2020-08-08;5
67;79;2020-02-07;7
54;44;2020-08-27;3
50;22;2020-03-05;16
78;39;2020-01-06;11
57;22;2020-05-25;17
23;65;2020-08-25;11
74;64;2020-10-17;14
78;21;2020-11-11;9
46;85;2020-05-16;3
92;56;2020-06-26;5
65;55;2020-07-27;8
87;11;2020-05-20;2
14;43;2020-08-23;3
99;35;2020-07-09;6
60;41;2020-05-09;10
31;28;2020-11-24;1
72;63;2020-03-31;19
15;94;2020-09-01;16
85;91;2020-09-14;5
68;56;2020-07-09;6
80;48;2020-02-08;3
45;53;2020-02-14;0
29;19;2020-12-16;1
63;56;2020-09-23;1
46;98;2020-06-02;10
90;46;2020-08-06;19
89;55;2020-12-03;5
65;90;2020-08-14;6
26;58;2020-09-03;5
95;99;2020-12-30;11
31;40;2020-10-11;10
21;35;2020-01-24;13
20;12;2020-12-12;10
88;49;2021-01-01;0
49;68;2020-12-20;1
70;44;2020-09-05;13
45;91;2020-04-03;8
88;27;2020-06-16;0
79;14;2020-03-04;2
26;40;2020-11-09;15
60;94;2020-06-07;2
15;19;2020-02-29;16
87;35;2020-10-07;6
96;72;2021-01-17;18
83;31;2020-05-27;17
87;38;2021-01-09;16
64;66;2020-07-29;3
95;11;2020-10-28;14
40;19;2020-10-31;14
21;10;2020-12-06;3
98;31;2020-12-05;10
82;17;2020-04-18;18
24;62;2020-10-04;14
85;98;2020-12-05;2
32;28;2020-03-08;15
52;13;2020-10-09;12
50;65;2021-01-08;12
91;55;2020-11-25;3
68;54;2020-02-12;17
62;16;2020-12-07;2
49;88;2020-10-23;16
96;44;2020-02-24;1
38;47;2020-09-22;16
76;12;2020-10-14;4
45;80;2020-04-15;1
41;18;2020-07-26;6
55;91;2020-10-18;14
24;98;2020-09-04;7
55;57;2020-07-09;12
76;53;2020-05-21;15
39;89;2020-12-25;2
40;34;2020-11-30;4
41;51;2020-02-06;3
35;30;2021-01-01;13
47;42;2020-11-17;6
37;59;2020-05-23;1
28;39;2020-02-09;2
40;89;2021-01-07;12
49;71;2020-07-15;17
33;82;2020-08-23;17
37;12;2020-12-11;5
74;71;2020-09-06;6
37;44;2020-02-26;6
92;31;2020-02-25;10
79;43;2020-07-30;10
90;25;2020-05-25;16
27;45;2020-05-29;5
51;93;2020-02-09;11
29;96;2020-01-21;0
54;22;2020-06-02;14
76;56;2021-01-07;17
96;57;2020-11-25;5
11;27;2020-12-30;18
10;13;2020-02-06;3
55;50;2020-12-12;16
75;75;2020-02-15;1
27;19;2020-12-22;18
91;29;2020-12-06;6
20;94;2020-01-17;11
21;78;2020-05-15;6
37;27;2020-01-26;14
84;60;2021-01-14;3
24;66;2020-11-02;11
59;37;2020-03-28;12
80;37;2020-11-08;17
37;62;2020-01-11;18
54;93;2020-12-18;17
76;14;2020-09-09;2
23;22;2020-11-14;13
71;84;2020-12-02;9
26;22;2020-07-06;0
30;47;2020-02-28;15
12;99;2020-10-18;13
81;57;2020-03-20;8
42;20;2020-06-09;2
11;60;2020-06-28;3
32;13;2020-05-31;8
95;99;2020-09-05;4
77;71;2020-12-22;2
30;69;2020-06-06;9
52;83;2020-01-07;9
18;90;2020-01-08;19
29;41;2020-07-24;13
40;96;2020-05-16;18
91;54;2020-11-17;5
68;30;2020-10-30;16
76;53;2020-06-28;8
49;44;2020-02-27;14
80;58;2020-09-13;9
18;60;2020-05-28;11
48;68;2020-01-05;6
21;94;2020-08-02;5
65;38;2020-11-28;8
93;63;2020-10-24;2
30;90;2020-05-18;3
73;35;2020-05-13;11
18;99;2020-03-05;10
43;49;2020-01-04;1
74;52;2020-05-22;15
92;17;2020-10-05;7
51;61;2020-11-15;17
89;11;2020-06-22;12
37;81;2021-01-04;9
22;14;2020-07-19;10
93;13;2020-03-08;16
83;52;2020-08-19;18
54;99;2020-02-06;12
69;36;2020-10-17;6
43;21;2020-08-07;6
70;84;2020-11-21;8
34;35;2020-10-18;8
54;62;2020-09-04;13
29;23;2020-03-07;15
15;87;2020-02-11;0
80;77;2020-02-22;0
22;56;2020-10-11;2
12;51;2020-06-25;19
64;41;2020-07-01;17
44;99;2020-10-02;0
75;27;2020-08-18;8
13;61;2020-11-26;18
73;62;2020-07-28;19
20;21;2020-10-20;14
15;60;2020-02-19;13
15;54;2020-03-05;19
18;73;2020-07-29;0
20;57;2021-01-06;8
69;42;2020-11-09;11
10;17;2020-10-16;15
43;92;2020-11-11;10
18;21;2020-08-06;6
76;57;2020-11-14;8
75;90;2020-02-18;1
88;41;2020-12-01;6
26;55;2020-02-13;10
10;69;2020-02-10;17
72;65;2020-10-07;7
49;39;2020-10-26;4
24;89;2020-02-07;12
45;78;2020-01-09;17
18;67;2020-10-18;8
77;69;2020-12-14;9
43;11;2020-03-04;6
26;60;2020-03-05;16
60;90;2020-06-29;17
21;28;2020-11-15;12
15;80;2020-12-07;4
69;22;2020-09-27;1
52;89;2020-07-05;7
82;21;2020-10-10;13
88;82;2020-04-30;12
25;67;2020-02-05;17
26;70;2020-04-29;0
97;46;2020-09-03;14
96;53;2020-01-26;8
69;52;2020-10-16;15
30;77;2020-03-25;1
81;69;2020-05-29;17
62;17;2020-09-14;5
30;70;2020-07-08;4
85;41;2020-02-17;4
84;60;2020-05-26;15
14;99;2020-09-25;4
23;39;2020-12-23;1
75;49;2020-03-21;1
84;16;2020-02-16;7
60;66;2020-03-29;18
20;38;2020-12-15;6
60;73;2020-04-28;13
54;22;2020-05-19;17
67;32;2020-11-28;19
73;96;2020-03-04;16
66;48;2020-09-11;18
41;50;2020-02-22;0
52;19;2020-08-22;19
22;73;2020-02-29;0
80;30;2020-04-20;1
38;54;2020-06-30;17
46;72;2020-11-03;15
52;99;2020-04-15;16
61;89;2020-07-01;17
59;71;2020-08-09;14
38;95;2020-11-13;12
80;81;2020-03-10;5
23;41;2020-02-10;14
54;48;2020-10-20;11
24;74;2020-03-18;6
59;91;2020-06-18;7
57;95;2020-12-27;10
59;38;2020-02-10;2
23;33;2020-08-02;3
79;19;2020-02-23;3
28;42;2021-01-03;13
94;11;2020-07-24;9
48;87;2020-12-26;2
79;64;2020-01-19;13
91;70;2020-06-10;17
51;43;2020-09-17;4
91;49;2020-12-16;6
83;94;2020-09-12;10
91;31;2020-02-27;2
38;75;2020-11-03;8
74;64;2020-03-11;13
98;16;2020-09-19;12
97;13;2020-12-03;1
73;48;2020-12-30;4
40;67;2020-03-30;13
59;12;2020-08-14;0
15;97;2020-11-26;9
87;17;2020-09-14;5
31;86;2020-01-09;6
21;23;2020-11-01;8
70;60;2021-01-10;2
53;56;2021-01-14;14
31;83;2020-01-06;14
30;95;2020-05-17;10
76;71;2020-07-22;8
97;21;2020-09-13;6
10;20;2020-12-03;19
33;11;2020-11-11;14
71;90;2020-05-02;3
54;80;2021-01-04;9
94;83;2020-02-14;13
43;62;2020-03-05;15
58;71;2020-02-18;19
13;16;2020-04-07;14
27;58;2020-12-26;16
67;94;2020-07-18;0
30;24;2020-11-27;16
69;35;2020-10-17;18
88;14;2020-06-18;11
94;91;2020-05-08;2
90;99;2020-07-30;3
59;29;2020-07-05;14
74;84;2020-03-10;3
31;73;2020-09-17;5
62;95;2020-09-24;4
36;58;2020-01-19;2
50;88;2020-03-19;1
65;46;2020-01-12;5
58;63;2020-06-14;7
78;38;2021-01-03;11
88;78;2020-09-22;11
94;89;2020-03-27;19
31;83;2020-12-13;16
21;53;2020-07-07;10
36;49;2020-11-04;16
68;45;2020-03-29;9
54;77;2020-10-01;7
16;20;2021-01-08;16
43;78;2020-09-07;4
40;90;2020-02-22;8
77;94;2020-01-09;0
68;66;2020-08-25;10
69;42;2021-01-03;4
16;15;2020-06-17;8
22;64;2020-09-05;5
70;34;2020-02-08;15
64;42;2020-03-05;0
48;72;2020-03-05;15
99;80;2020-02-07;5
61;75;2020-11-24;6
83;51;2020-10-16;16
56;20;2020-11-19;2
76;96;2020-08-16;13
31;91;2020-07-09;17
58;72;2020-09-04;2
80;66;2021-01-10;14
19;99;2020-11-03;17
50;48;2020-03-07;3
48;92;2020-01-25;4
64;41;2020-02-28;5
59;11;2020-07-15;7
73;40;2020-03-20;7
58;53;2020-08-03;15
16;53;2020-10-07;19
35;14;2020-03-21;13
39;65;2020-03-24;17
78;96;2020-03-12;7
33;73;2020-12-22;12
11;75;2020-07-04;7
86;59;2020-09-22;11
76;27;2020-12-10;10
37;66;2020-11-05;17
69;32;2020-11-08;12
39;21;2020-12-04;2
27;73;2020-11-19;11
41;98;2020-05-16;4
60;96;2020-01-20;1
34;14;2020-05-29;18
36;88;2020-11-26;15
13;99;2020-04-06;6
73;75;2020-04-26;6
68;33;2020-02-04;2
13;96;2020-08-13;6
80;25;2020-07-18;13
60;32;2020-12-01;19
55;57;2020-05-14;18
26;38;2020-12-10;10
91;57;2020-02-08;16
20;70;2020-09-20;13
54;14;2020-11-14;13
24;91;2020-08-21;14
67;92;2020-03-21;9
21;62;2020-01-16;10
59;22;2020-11-09;3
54;92;2020-08-20;2
38;10;2020-01-23;6
75;45;2020-01-15;8
66;80;2020-03-31;3
74;19;2020-11-06;19
36;42;2020-04-26;2
43;73;2020-02-26;17
68;10;2020-08-25;16
41;73;2020-03-23;5
59;82;2020-03-10;17
55;73;2020-02-06;18
40;47;2020-11-29;10
40;55;2020-07-08;10
42;92;2020-06-27;11
22;91;2020-09-07;0
71;49;2020-04-29;2
36;24;2020-02-11;2
42;31;2020-09-18;3
84;85;2020-12-23;9
10;23;2020-12-19;12
71;40;2020-05-21;4
24;42;2020-05-21;13
93;30;2020-12-30;14
60;89;2020-08-11;3
17;73;2020-06-12;7
48;70;2021-01-12;12
50;16;2020-12-24;3
46;37;2020-12-22;1
21;55;2020-04-09;2
25;21;2020-04-19;4
59;77;2021-01-14;4
43;69;2020-03-06;14
12;51;2020-03-25;14
39;26;2020-12-02;2
73;72;2020-09-12;12
13;13;2020-09-05;14
47;74;2020-12-17;16
67;25;2020-03-15;16
58;93;2020-03-25;7
42;90;2020-05-12;2
37;91;2020-05-11;9
97;73;2020-03-03;15
49;76;2020-06-16;1
87;86;2020-02-09;13
70;73;2020-09-15;3
55;45;2020-08-04;11
37;71;2020-10-22;15
17;67;2020-12-26;5
41;78;2020-06-19;0
78;59;2020-06-19;6
77;89;2020-03-23;12
69;50;2020-03-19;11
57;39;2020-01-12;0
60;39;2020-07-17;12
77;78;2020-09-13;3
36;22;2020-08-17;12
34;44;2020-01-12;6
92;93;2020-07-14;7
58;71;2020-11-04;7
13;67;2020-03-10;3
16;23;2020-05-04;9
13;64;2020-11-27;14
39;91;2020-01-17;7
89;90;2020-10-15;7
34;94;2020-05-08;5
42;48;2020-02-20;8
21;69;2020-08-18;15
49;75;2020-11-19;11
29;31;2020-04-23;17
51;17;2020-01-01;2
48;64;2020-07-01;5
75;12;2020-08-20;0
91;63;2020-11-09;16
99;33;2020-06-09;0
43;74;2020-03-20;16
94;39;2020-10-25;19
85;50;2020-01-14;3
47;11;2020-04-13;18
95;69;2020-04-10;14
24;72;2021-01-15;4
87;78;2020-03-22;8
91;79;2020-03-22;1
20;17;2020-07-18;4
59;33;2020-06-04;15
60;86;2020-05-20;1
91;81;2020-01-30;0
13;97;2020-02-09;16
98;29;2020-01-30;4
15;16;2020-10-21;18
85;22;2020-07-14;7
96;30;2020-03-20;8
53;20;2020-12-14;1
68;73;2020-03-12;3
42;11;2020-04-08;4
26;83;2020-10-06;7
60;80;2020-12-28;14
86;24;2020-10-30;12
65;74;2020-09-26;2
99;54;2020-10-06;1
13;27;2020-12-27;2
53;44;2020-08-13;10
41;98;2020-06-24;14
14;29;2020-05-08;0
36;66;2020-03-23;8
40;14;2020-01-30;6
36;95;2020-04-23;10
38;77;2020-10-13;1
52;71;2020-12-08;19
